Compound,CID,mol_idx,Regno,Chemotype,Smiles,smiles_nosalt
PFE-PKIS_1,,10,0,biaryl pyridinone,O=C1C(Br)=C(OCC2=C(F)C=C(F)C=C2)C=C(C)N1C3=CC(C(NCC(N)=O)=O)=CC=C3C,Cc1ccc(C(=O)NCC(N)=O)cc1-n1c(C)cc(OCc2ccc(F)cc2F)c(Br)c1=O
PFE-PKIS_10,71731823,11,0,2-amino-3-alkoxypyridine,C[C@@H](OC1=C(N)N=CC(C2=C(C#N)N(C)N=C2C3)=C1)C4=CC(F)=CC=C4C(N3C)=O,C[C@H]1Oc2cc(cnc2N)-c2c(nn(C)c2C#N)CN(C)C(=O)c2ccc(F)cc21
PFE-PKIS_11,50992245,12,0,indoloquinoline,N#CC1=CC(N2)=C(C=C1)C3=C2C4=CC(OC)=C(OCCOCCOC)C=C4N=C3,COCCOCCOc1cc2ncc3c4ccc(C#N)cc4[nH]c3c2cc1OC
PFE-PKIS_12,71552942,13,0,"2,4-diamino-5-carboxamide pyrimidines",O=C(NCCCN1CCOC1=O)C2=CN=C(NCC3=C(Cl)C=CC(Cl)=C3)N=C2NC4CCCC4,O=C(NCCCN1CCOC1=O)c1cnc(NCc2cc(Cl)ccc2Cl)nc1NC1CCCC1
PFE-PKIS_13,11612883,14,0,2-anilino-4-amino-pyrimidine,O=C(CC1)NC(C1=C2)=CC=C2NC3=NC(NCC4=CC(S(C)(=O)=O)=CC=C4)=C(C(F)(F)F)C=N3,CS(=O)(=O)c1cccc(CNc2nc(Nc3ccc4c(c3)CCC(=O)N4)ncc2C(F)(F)F)c1
PFE-PKIS_14,56675921,15,0,thienopyrimidine,NC(C(C=C1)=CC=C1C2=CC3=NC=NC(SCC(O)=O)=C3S2)=O,NC(=O)c1ccc(-c2cc3ncnc(SCC(=O)O)c3s2)cc1
PFE-PKIS_15,9937619,16,0,Type 3 Mek,FC1=C(F)C(Br)=CC(C(NOCC2CC2)=O)=C1NC3=CC=C(I)C=C3Cl,O=C(NOCC1CC1)c1cc(Br)c(F)c(F)c1Nc1ccc(I)cc1Cl
PFE-PKIS_16,,17,0,indoloquinoline,N#CC1=CC(N2)=C(C=C1)C3=C2C4=CC(OC)=C(OCCN5CCN(C)CC5)C=C4N=C3,COc1cc2c(cc1OCCN1CCN(C)CC1)ncc1c3ccc(C#N)cc3[nH]c21
PFE-PKIS_17,,18,0,benzothiophene diazapinone,O=C(N[C@H](C)CN1)C2=C1C3=C(C=CC(C4=CC=C(O)C=C4)=N5)C5=CC=C3S2,C[C@@H]1CNc2c(sc3ccc4nc(-c5ccc(O)cc5)ccc4c23)C(=O)N1
PFE-PKIS_18,,19,0,2-anilino-4-amino-pyrimidine,CS(C1=CC(CNC2=NC(NC3=CC=C(N(C(C)C)C(C4)=O)C4=C3)=NC=C2C(F)(F)F)=CC=C1)(=O)=O,CC(C)N1C(=O)Cc2cc(Nc3ncc(C(F)(F)F)c(NCc4cccc(S(C)(=O)=O)c4)n3)ccc21
PFE-PKIS_19,11715767,20,0,pyrolopyridinone,O=C1C2=C(NC(C3=CC=NC=C3)=C2)CCN1,O=C1NCCc2[nH]c(-c3ccncc3)cc21
PFE-PKIS_2,70693799,21,0,morpholino thiophene,ClC(C=C1)=CC=C1C2=C(C3=CC=NN3)SC(N4CCOCC4)=C2C#N,N#Cc1c(N2CCOCC2)sc(-c2ccn[nH]2)c1-c1ccc(Cl)cc1
PFE-PKIS_20,,22,0,biaryl pyridinones,CC1=CC(OCC2=C(F)C=C(F)C=C2)=C(Br)C(N1C3=C(C)C=CC(C(N4C[C@H](O)CC4)=O)=C3)=O,Cc1ccc(C(=O)N2CC[C@@H](O)C2)cc1-n1c(C)cc(OCc2ccc(F)cc2F)c(Br)c1=O
PFE-PKIS_21,9826528,23,0,Type 3 Mek,FC1=C(F)C=CC(C(NOC[C@H](O)CO)=O)=C1NC2=CC=C(I)C=C2F,O=C(NOC[C@H](O)CO)c1ccc(F)c(F)c1Nc1ccc(I)cc1F
PFE-PKIS_22,,24,0,2-anilino-4-amino-pyrimidine,O=S(C1=CC(CNC2=C(C(F)(F)F)C=NC(NC3=CC=C4C([C@@H]5C[C@@H]4CNC5=O)=C3)=N2)=CC=C1)(C)=O,CS(=O)(=O)c1cccc(CNc2nc(Nc3ccc4c(c3)[C@@H]3C[C@@H]4CNC3=O)ncc2C(F)(F)F)c1
PFE-PKIS_23,21952489,25,0,2-anilino-4-amino-pyrimidine,CN(S(C)(=O)=O)C1=CC(CNC2=C(C(F)(F)F)C=NC(NC3=CC=C4C(CC(N4)=O)=C3)=N2)=CC=C1,CN(c1cccc(CNc2nc(Nc3ccc4c(c3)CC(=O)N4)ncc2C(F)(F)F)c1)S(C)(=O)=O
PFE-PKIS_24,,26,0,indoloquinoline,N#CC1=CC(N2)=C(C=C1)C3=C2C4=CC(OC)=C(OCCN5CCNCC5)C=C4N=C3,COc1cc2c(cc1OCCN1CCNCC1)ncc1c3ccc(C#N)cc3[nH]c21
PFE-PKIS_25,9926791,27,0,4-amino-pyrolopyrimidine,CN([C@H]1CN(C(CC#N)=O)CC[C@H]1C)C2=C3C(NC=C3)=NC=N2,C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12
PFE-PKIS_26,11598628,28,0,2-anilino-4-amino-pyrimidine,O=C1CC2=CC(NC3=NC(NCC4=CC=CC=C4N(C)S(=O)(C)=O)=C(C(F)(F)F)C=N3)=CC=C2N1,CN(c1ccccc1CNc1nc(Nc2ccc3c(c2)CC(=O)N3)ncc1C(F)(F)F)S(C)(=O)=O
PFE-PKIS_27,6918454,29,0,Type 3 Mek,FC1=C(F)C=CC(C(NOCC2CC2)=O)=C1NC3=CC=C(I)C=C3Cl,O=C(NOCC1CC1)c1ccc(F)c(F)c1Nc1ccc(I)cc1Cl
PFE-PKIS_28,,30,0,"2,4-diamino-5-carboxamide pyrimidines",O=C(C1=CN=C(N=C1NC2CCNCC2)NCC3=C(C=CC(Cl)=C3)Cl)NCCCN4C(CCC4)=O,O=C(NCCCN1CCCC1=O)c1cnc(NCc2cc(Cl)ccc2Cl)nc1NC1CCNCC1
PFE-PKIS_29,,31,0,pyrimidopyridinone,COC(N=C1)=CC=C1C2=CC3=C(C)N=C(N)N=C3N([C@H]4CC[C@H](OCCO)CC4)C2=O,COc1ccc(-c2cc3c(C)nc(N)nc3n([C@H]3CC[C@H](OCCO)CC3)c2=O)cn1
PFE-PKIS_3,5328127,32,0,pyridopyrimidine,COC1=CC(C2=CC3=CN=C(N)N=C3N=C2NC(NC(C)(C)C)=O)=CC(OC)=C1,COc1cc(OC)cc(-c2cc3cnc(N)nc3nc2NC(=O)NC(C)(C)C)c1
PFE-PKIS_30,,33,0,indolodiazapinone,O=C1NN=CC2=C(C3=CN(C)N=C3)NC4=CC(NC([C@@H](C5CCCCC5)N)=O)=CC1=C42,Cn1cc(-c2[nH]c3cc(NC(=O)[C@H](N)C4CCCCC4)cc4c(=O)[nH]ncc2c34)cn1
PFE-PKIS_31,53484072,34,0,thienopyrimidine,O=C(O)CSC1=C2C(C=C(C3=CC=C(NC(C)=O)C=C3)S2)=NC=N1,CC(=O)Nc1ccc(-c2cc3ncnc(SCC(=O)O)c3s2)cc1
PFE-PKIS_32,5330286,35,0,pyrimidopyridinone,CC(C1=CN=C(NC2=NC=C(N3CCNCC3)C=C2)N=C1N4C5CCCC5)=C(C(C)=O)C4=O,CC(=O)c1c(C)c2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n(C2CCCC2)c1=O
PFE-PKIS_33,45271846,36,0,benzothiophene diazapinone,O=C(N[C@H](C)CN1)C2=C1C3=C(C=CC(C4=CC=NC=C4)=N5)C5=CC=C3S2,C[C@@H]1CNc2c(sc3ccc4nc(-c5ccncc5)ccc4c23)C(=O)N1
PFE-PKIS_34,49856321,37,0,4-amino-pyrolopyrimidine,CN([C@H]1CN(C(CO)=O)CC[C@H]1C)C2=C3C(NC=C3)=NC=N2,C[C@@H]1CCN(C(=O)CO)C[C@@H]1N(C)c1ncnc2[nH]ccc12
PFE-PKIS_35,,38,0,morpholino thiophene,N#CC1=C(N2CCOCC2)SC(C3=NC=NN3)=C1C4=CC=C(S(=O)(C)=O)C=C4,CS(=O)(=O)c1ccc(-c2c(-c3ncn[nH]3)sc(N3CCOCC3)c2C#N)cc1
PFE-PKIS_36,,39,0,3-vinyl indazole,O=C(NCC)/C=C/C1=NNC2=C1C=CC(SC3=CC=CC=C3C(NC)=O)=C2,CCNC(=O)/C=C/c1n[nH]c2cc(Sc3ccccc3C(=O)NC)ccc12
PFE-PKIS_37,11626560,40,0,2-amino-3-alkoxy pyridines,ClC1=C([C@H](OC2=C(N)N=CC(C3=CN(C4CCNCC4)N=C3)=C2)C)C(Cl)=C(F)C=C1,C[C@@H](Oc1cc(-c2cnn(C3CCNCC3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl
PFE-PKIS_38,4369491,41,0,maleimide,O=C1NC(C2=C(C3=CC=CC=C3)C=C4C(C(C=C(O)C=C5)=C5N4)=C21)=O,O=C1NC(=O)c2c1c(-c1ccccc1)cc1[nH]c3ccc(O)cc3c21
PFE-PKIS_39,24871823,42,0,6-sub-quinoline,CN(N=C1)C=C1C(C=C2)=NN3C2=NN=C3[C@@H](C)C4=CC=C(N=CC=C5)C5=C4,C[C@@H](c1ccc2ncccc2c1)c1nnc2ccc(-c3cnn(C)c3)nn12
PFE-PKIS_4,17754438,43,0,6-sub-quinoline,OCCN(N=C1)C=C1C2=CN=C(N=NN3CC4=CC=C(N=CC=C5)C5=C4)C3=N2,OCCn1cc(-c2cnc3nnn(Cc4ccc5ncccc5c4)c3n2)cn1
PFE-PKIS_40,,44,0,pyrimidopyridinone,O=C1N([C@@H]2CC[C@@H](O)CC2)C3=NC(N)=NC(C)=C3C=C1C4=CC=C(OC)N=C4,COc1ccc(-c2cc3c(C)nc(N)nc3n([C@H]3CC[C@H](O)CC3)c2=O)cn1
PFE-PKIS_41,22049997,45,0,biaryl pyridinones,CC1=CC(OCC2=C(F)C=C(F)C=C2)=C(Br)C(N1C3=C(C)C=CC(C(NC)=O)=C3)=O,CNC(=O)c1ccc(C)c(-n2c(C)cc(OCc3ccc(F)cc3F)c(Br)c2=O)c1
PFE-PKIS_42,,46,0,benzothiophene diazapinone,C[C@H](CN1)N=C(N(C)C)C2=C1C3=C(C=CC(C4=CN=C(C)C=C4)=N5)C5=CC=C3S2,Cc1ccc(-c2ccc3c(ccc4sc5c(c43)NC[C@@H](C)N=C5N(C)C)n2)cn1
PFE-PKIS_43,56675920,47,0,thienopyrimidine,O=C(CSC1=C2C(C=C(S2)C3=CC=C(C=C3)SC)=NC=N1)O,CSc1ccc(-c2cc3ncnc(SCC(=O)O)c3s2)cc1
PFE-PKIS_44,,48,0,pyrimidopyridinone,CC(C1=CN=C(NC2=NN(C)C=C2)N=C1N3C4CCCC4)=C(C(C)=O)C3=O,CC(=O)c1c(C)c2cnc(Nc3ccn(C)n3)nc2n(C2CCCC2)c1=O
PFE-PKIS_45,,49,0,3-vinyl indazole,O=C(NC)C1=CC=CC=C1SC2=CC(NN=C3/C=C/C4=CC(CC)=CC=N4)=C3C=C2,CCc1ccnc(/C=C/c2n[nH]c3cc(Sc4ccccc4C(=O)NC)ccc23)c1
PFE-PKIS_46,,50,0,2-amino-4-anilino pyrimidine,O=C(C1)NC(C1=C2)=CC=C2NC3=NC(NCC4=CC(S(=O)(C(F)(F)F)=O)=CC=C4)=NC=C3C(F)(F)F,O=C1Cc2cc(Nc3nc(NCc4cccc(S(=O)(=O)C(F)(F)F)c4)ncc3C(F)(F)F)ccc2N1
PFE-PKIS_47,,51,0,4-amino pyrolopyridine,CN([C@H]1CN(C(CC#N)=O)CC[C@H]1C)C2=C3C(NC=C3)=NC(C)=N2,Cc1nc(N(C)[C@H]2CN(C(=O)CC#N)CC[C@H]2C)c2cc[nH]c2n1
PFE-PKIS_5,,52,0,indoloquinoline,N#CC1=CC(N2)=C(C=C1)C3=C2C4=CC(OC)=C(OC[C@@H](O)CO)C=C4N=C3,COc1cc2c(cc1OC[C@@H](O)CO)ncc1c3ccc(C#N)cc3[nH]c21
PFE-PKIS_6,6450551,53,0,3-vinyl indazole,O=C(NC)C1=CC=CC=C1SC2=CC(NN=C3/C=C/C4=CC=CC=N4)=C3C=C2,CNC(=O)c1ccccc1Sc1ccc2c(/C=C/c3ccccn3)n[nH]c2c1
PFE-PKIS_7,5328135,54,0,pyridopyrimidine,CCN(CC)CCCCNC(N=C1)=NC2=C1C=C(C(NC(NC(C)(C)C)=O)=N2)C3=C(Cl)C=CC=C3Cl,CCN(CC)CCCCNc1ncc2cc(-c3c(Cl)cccc3Cl)c(NC(=O)NC(C)(C)C)nc2n1
PFE-PKIS_8,53344620,55,0,4-amino-pyrolopyrimidine,CN([C@@H]1[C@H](C)CCN(C(N2CCCC2)=O)C1)C3=C4C(NC=C4)=NC=N3,C[C@@H]1CCN(C(=O)N2CCCC2)C[C@@H]1N(C)c1ncnc2[nH]ccc12
PFE-PKIS_9,53484073,56,0,thienopyrimidine,O=C(O)COC1=C2C(C=C(C3=CC=C(NN=C4)C4=C3)S2)=NC=N1,O=C(O)COc1ncnc2cc(-c3ccc4[nH]ncc4c3)sc12
SB-210486,10452739,57,0,4-pyridinyl_ortho-aryl_azoles,Fc1ccc(cc1)-c1ncn(CCCNCc2ccccc2)c1-c1ccncc1,Fc1ccc(-c2ncn(CCCNCc3ccccc3)c2-c2ccncc2)cc1
SB-226605,23133388,58,0,4-pyrimidinyl_ortho-aryl_azoles,CCNc1nccc(n1)-c1c(ncn1C1CCN(C)CC1)-c1ccc(F)cc1,CCNc1nccc(-c2c(-c3ccc(F)cc3)ncn2C2CCN(C)CC2)n1
UNC10225272A,14308053,59,SKF-97510,6-aminopurines and related,Cc1ccccc1-n1cnc2c(N)ncnc12,Cc1ccccc1-n1cnc2c(N)ncnc21
UNC10225284A,44305910,60,SKF-97560,6-aminopurines and related,Nc1ncnc2n(cnc12)-c1cccc(F)c1,Nc1ncnc2c1ncn2-c1cccc(F)c1
TPKI-100,9958506,61,0,isoquinolone,COC(=O)C1=C(C2=CC=CC=C2)C2=CC(Br)=CC=C2C(=O)N1CC1=CC=C(C=C1)S(C)(=O)=O,COC(=O)c1c(-c2ccccc2)c2cc(Br)ccc2c(=O)n1Cc1ccc(S(C)(=O)=O)cc1
TPKI-101,10195059,62,0,isoquinolone,CCC(=O)C1=C(C2=CC=CC=C2)C2=CC(Cl)=CC=C2C(=O)N1CC1=CC=C(C=C1)C(O)=O,CCC(=O)c1c(-c2ccccc2)c2cc(Cl)ccc2c(=O)n1Cc1ccc(C(=O)O)cc1
TPKI-102,11213972,63,0,isoquinolone,CCC(=O)C1=C(C2=CC=CC=C2)C2=CC(Cl)=CC=C2C(=O)N1CC1=NN(C)C(=C1)C(=O)NC1CC1,CCC(=O)c1c(-c2ccccc2)c2cc(Cl)ccc2c(=O)n1Cc1cc(C(=O)NC2CC2)n(C)n1
TPKI-103,44451560,64,0,isoquinolone,CCC(=O)C1=C(C2=CC=CC=C2)C2=CC(Cl)=CC=C2C(=O)N1CC1=NN(CC(F)F)C(=C1)S(C)(=O)=O,CCC(=O)c1c(-c2ccccc2)c2cc(Cl)ccc2c(=O)n1Cc1cc(S(C)(=O)=O)n(CC(F)F)n1
TPKI-104,44451561,65,0,isoquinolone,CCC(=O)C1=C(C2=CC=CC=C2)C2=CC(Cl)=CC=C2C(=O)N1CC1=NN(CCC(C)(C)O)C(=C1)S(C)(=O)=O,CCC(=O)c1c(-c2ccccc2)c2cc(Cl)ccc2c(=O)n1Cc1cc(S(C)(=O)=O)n(CCC(C)(C)O)n1
TPKI-105,11678117,66,0,isoquinolone,CCC(=O)C1=C(C2=CC=CC=C2)C2=CC(Cl)=CC=C2C(=O)N1CC1=NN(CC(N)=O)C(=C1)S(C)(=O)=O,CCC(=O)c1c(-c2ccccc2)c2cc(Cl)ccc2c(=O)n1Cc1cc(S(C)(=O)=O)n(CC(N)=O)n1
TPKI-106,11277481,67,0,4-pyridinyl_ortho-aryl_azoles,CCC1=NC(=C(S1)C1=CC=NC=C1)C1=CC(C)=CC=C1,CCc1nc(-c2cccc(C)c2)c(-c2ccncc2)s1
TPKI-107,9952773,68,0,4-pyridinyl_ortho-aryl_azoles,CCC1=NC(=C(S1)C1=CC(NC(=O)C2=CC=CC=C2)=NC=C1)C1=CC(C)=CC=C1,CCc1nc(-c2cccc(C)c2)c(-c2ccnc(NC(=O)c3ccccc3)c2)s1
TPKI-108,10134696,69,0,4-pyridinyl_ortho-aryl_azoles,CCC1=NC(=C(S1)C1=CC(NCC2=CC=CC=C2)=NC=C1)C1=CC(C)=CC=C1,CCc1nc(-c2cccc(C)c2)c(-c2ccnc(NCc3ccccc3)c2)s1
TPKI-109,11418329,70,0,4-pyridinyl_ortho-aryl_azoles,CC1=CC=CC(=C1)C1=C(SC(=N1)C1=CC=C(C=C1)S(C)(=O)=O)C1=CC=NC=C1,Cc1cccc(-c2nc(-c3ccc(S(C)(=O)=O)cc3)sc2-c2ccncc2)c1
TPKI-110,10165183,71,0,4-pyridinyl_ortho-aryl_azoles,CC1=CC=CC(=C1)C1=C(SC(=N1)C1=CC=C(C=C1)S(C)(=O)=O)C1=CC(NCCC2=CC=CC=C2)=NC=C1,Cc1cccc(-c2nc(-c3ccc(S(C)(=O)=O)cc3)sc2-c2ccnc(NCCc3ccccc3)c2)c1
TPKI-111,59507062,72,0,2-amino-5-anilino-thiazolopyrimidine,CC(=O)NC1=NC2=CN=C(NC3=C(C)C=CC(NC(=O)C4=CC=CC(CCC#N)=C4)=C3)N=C2S1,CC(=O)Nc1nc2cnc(Nc3cc(NC(=O)c4cccc(CCC#N)c4)ccc3C)nc2s1
TPKI-112,59507002,73,0,2-amino-5-anilino-thiazolopyrimidine,CC(=O)NC1=NC2=CN=C(NC3=C(C)C=CC(NC(=O)C4=CC=CC(CC(C)(C)C#N)=C4)=C3)N=C2S1,CC(=O)Nc1nc2cnc(Nc3cc(NC(=O)c4cccc(CC(C)(C)C#N)c4)ccc3C)nc2s1
TPKI-113,59506918,74,0,2-amino-5-anilino-thiazolopyrimidine,CC(=O)NC1=NC2=CN=C(NC3=C(C)C=CC(NC(=O)C4=CC=CC(=C4Cl)C4(CC4)C#N)=C3)N=C2S1,CC(=O)Nc1nc2cnc(Nc3cc(NC(=O)c4cccc(C5(C#N)CC5)c4Cl)ccc3C)nc2s1
TPKI-114,25206346,75,0,2-amino-5-anilino-thiazolopyrimidine,CN(C1=CC(NC(=O)C2=CC=CC(OC(C)(C)C#N)=C2Cl)=C(F)C=C1)C1=CC=C2N=C(NC(=O)C3CC3)SC2=N1,CN(c1ccc(F)c(NC(=O)c2cccc(OC(C)(C)C#N)c2Cl)c1)c1ccc2nc(NC(=O)C3CC3)sc2n1
TPKI-16,24968572,76,0,Type 3 Mek,Cn1c2ncn(OC[C@H](O)CO)c(=O)c2c(Nc3ccc(I)cc3F)c(F)c1=O,Cn1c(=O)c(F)c(Nc2ccc(I)cc2F)c2c(=O)n(OC[C@H](O)CO)cnc21
TPKI-24,25015677,77,0,2-anilino-pyrimidyl-diazepanone,COc1cc(ccc1Nc2ncc3N(C)C(=O)C(F)(F)CN(C4CCCC4)c3n2)C(=O)NC5CCN(C)CC5,COc1cc(C(=O)NC2CCN(C)CC2)ccc1Nc1ncc2c(n1)N(C1CCCC1)CC(F)(F)C(=O)N2C
TPKI-25,25252909,78,0,2-anilino-pyrimidyl-diazepanone,CC[C@@]1(F)CN(C2CCCC2)c3nc(Nc4ccc(cc4OC)C(=O)NC5CCN(C)CC5)ncc3N(C)C1=O,CC[C@@]1(F)CN(C2CCCC2)c2nc(Nc3ccc(C(=O)NC4CCN(C)CC4)cc3OC)ncc2N(C)C1=O
TPKI-26,25252911,79,0,2-anilino-pyrimidyl-diazepanone,CC[C@]1(F)CN(C2CCCC2)c3nc(Nc4ccc(cc4OC)C(=O)NC5CCN(C)CC5)ncc3N(C)C1=O,CC[C@]1(F)CN(C2CCCC2)c2nc(Nc3ccc(C(=O)NC4CCN(C)CC4)cc3OC)ncc2N(C)C1=O
TPKI-27,57970023,80,0,2-anilino-pyrimidyl-diazepanone,COc1cc(ccc1Nc2ncc3N(C)C(=O)[C@@H](CC=C)CN(C4CCCC4)c3n2)C(=O)NC5CCN(C)CC5,C=CC[C@H]1CN(C2CCCC2)c2nc(Nc3ccc(C(=O)NC4CCN(C)CC4)cc3OC)ncc2N(C)C1=O
TPKI-28,57955668,81,0,2-anilino-pyrimidyl-diazepanone,COc1cc(cc(F)c1Nc2ncc3N(C)C(=O)C(F)(F)CN(C4CCCC4)c3n2)C(=O)NC5CCN(C)CC5,COc1cc(C(=O)NC2CCN(C)CC2)cc(F)c1Nc1ncc2c(n1)N(C1CCCC1)CC(F)(F)C(=O)N2C
TPKI-29,25253525,82,0,2-anilino-pyrimidyl-diazepanone,CN1CCC(CC1)NC(=O)c2ccc(Nc3ncc4N(C)C(=O)C(F)(F)CN(C5CCCC5)c4n3)cc2,CN1CCC(NC(=O)c2ccc(Nc3ncc4c(n3)N(C3CCCC3)CC(F)(F)C(=O)N4C)cc2)CC1
TPKI-30,57955660,83,0,2-anilino-pyrimidyl-diazepanone,COc1cc(Nc2ncc3N(C)C(=O)C(F)(F)CN(C4CCCC4)c3n2)ccc1C(=O)NC5CCN(C)CC5,COc1cc(Nc2ncc3c(n2)N(C2CCCC2)CC(F)(F)C(=O)N3C)ccc1C(=O)NC1CCN(C)CC1
TPKI-31,57955606,84,0,2-anilino-pyrimidyl-diazepanone,CN1CCC(CC1)NC(=O)c2ccc(Nc3ncc4N(C)C(=O)C(F)(F)CN(C5CCCC5)c4n3)cc2C,Cc1cc(Nc2ncc3c(n2)N(C2CCCC2)CC(F)(F)C(=O)N3C)ccc1C(=O)NC1CCN(C)CC1
TPKI-32,2814562,85,0,4-amino-3-carboxamide cinnoline,NC(=O)c1nnc2ccccc2c1N,NC(=O)c1nnc2ccccc2c1N
TPKI-33,122180346,86,0,4-amino-3-carboxamide cinnoline,Cn1cc(cn1)-c1cccc2c(N)c(nnc12)C(N)=O,Cn1cc(-c2cccc3c(N)c(C(N)=O)nnc23)cn1
TPKI-34,71765510,87,0,4-amino-3-carboxamide cinnoline,Cc1cc2cn[nH]c2cc1-c1cccc2c(N)c(nnc12)C(N)=O,Cc1cc2cn[nH]c2cc1-c1cccc2c(N)c(C(N)=O)nnc12
TPKI-35,57505462,88,0,6-phenoxy-imidazopyridazine,CC1=CC(=NN1C1=CC=CC=C1)C(=O)NC1=CC=C(OC2=NN3C=C(NC(=O)C4CC4)N=C3C=C2)C=C1,Cc1cc(C(=O)Nc2ccc(Oc3ccc4nc(NC(=O)C5CC5)cn4n3)cc2)nn1-c1ccccc1
TPKI-36,70988670,89,0,6-phenoxy-imidazopyridazine,FC1=CC(NC(=O)C2=CC=CN(C3=CC=CC=C3)C2=O)=CC=C1OC1=NN2C=C(NC(=O)C3CC3)N=C2C=C1,O=C(Nc1ccc(Oc2ccc3nc(NC(=O)C4CC4)cn3n2)c(F)c1)c1cccn(-c2ccccc2)c1=O
TPKI-37,44595039,90,0,6-phenoxy-imidazopyridazine,CC1=CC=C(C(=O)NC2=CC=C(OC3=CN4C=C(NC(=O)C5CC5)N=C4C=C3)C(F)=C2)C(=O)N1C1=CC=CC=C1,Cc1ccc(C(=O)Nc2ccc(Oc3ccc4nc(NC(=O)C5CC5)cn4c3)c(F)c2)c(=O)n1-c1ccccc1
TPKI-38,57505524,91,0,6-phenoxy-imidazopyridazine,O=C(NC1=CC=CC=C1)NC1=CC=C(OC2=NN3C=CN=C3C=C2)C=C1,O=C(Nc1ccccc1)Nc1ccc(Oc2ccc3nccn3n2)cc1
TPKI-39,57505525,92,0,6-phenoxy-imidazopyridazine,O=C(NC1=CC=CC=C1)NC1=CC=CC(OC2=NN3C=CN=C3C=C2)=C1,O=C(Nc1ccccc1)Nc1cccc(Oc2ccc3nccn3n2)c1
TPKI-40,57505526,93,0,6-phenoxy-imidazopyridazine,FC(F)(F)C1=CC=CC(NC(=O)NC2=CC=CC(OC3=NN4C=CN=C4C=C3)=C2)=C1,O=C(Nc1cccc(Oc2ccc3nccn3n2)c1)Nc1cccc(C(F)(F)F)c1
TPKI-41,57441068,94,0,6-phenoxy-imidazopyridazine,O=C(NC1=CC=CC=C1)C1=CC=CC(OC2=NN3C=CN=C3C=C2)=C1,O=C(Nc1ccccc1)c1cccc(Oc2ccc3nccn3n2)c1
TPKI-42,57505784,95,0,6-phenoxy-imidazopyridazine,FC(F)(F)C1=CC(NC(=O)C2=CC=CC(OC3=NN4C=CN=C4C=C3)=C2)=CC=C1,O=C(Nc1cccc(C(F)(F)F)c1)c1cccc(Oc2ccc3nccn3n2)c1
