target,active_fraction
RPS6KA5_KinDom2.C.terminal,0.05301204819277108
RSK1_KinDom1.N.terminal,0.060240963855421686
RSK1_KinDom2.C.terminal,0.05060240963855422
RSK2_KinDom1.N.terminal,0.05060240963855422
RSK2_KinDom2.C.terminal,0.04096385542168675
RSK3_KinDom1.N.terminal,0.04096385542168675
RSK3_KinDom2.C.terminal,0.04096385542168675
RSK4_KinDom1.N.terminal,0.05783132530120482
RSK4_KinDom2.C.terminal,0.08433734939759036
S6K1,0.060240963855421686
SBK1,0.06265060240963856
SGK,0.05542168674698795
SGK2,0.04819277108433735
SGK3,0.060240963855421686
SIK,0.05783132530120482
SIK2,0.07228915662650602
SLK,0.0746987951807229
SNARK,0.08674698795180723
SNRK,0.03132530120481928
SRC,0.07710843373493977
SRMS,0.060240963855421686
SRPK1,0.060240963855421686
SRPK2,0.06265060240963856
SRPK3,0.06265060240963856
STK16,0.06746987951807229
STK33,0.07228915662650602
STK35,0.06987951807228916
STK36,0.06746987951807229
STK39,0.04096385542168675
SYK,0.03614457831325301
SgK110,0.06265060240963856
TAK1,0.06746987951807229
TAOK1,0.08674698795180723
TAOK2,0.043373493975903614
TAOK3,0.04819277108433735
TBK1,0.04096385542168675
TEC,0.04819277108433735
TESK1,0.05301204819277108
TGFBR1,0.06987951807228916
TGFBR2,0.08433734939759036
TIE1,0.0963855421686747
TIE2,0.07228915662650602
TLK1,0.04096385542168675
TLK2,0.043373493975903614
TNIK,0.07951807228915662
TNK1,0.06265060240963856
TNK2,0.05542168674698795
TNNI3K,0.07228915662650602
TRKA,0.0746987951807229
TRKB,0.06506024096385542
TRKC,0.06506024096385542
TRPM6,0.060240963855421686
TSSK1B,0.03614457831325301
TSSK3,0.04578313253012048
TTK,0.05542168674698795
TXK,0.08674698795180723
TYK2_JH1domain.catalytic,0.06746987951807229
TYK2_JH2domain.pseudokinase,0.0746987951807229
TYRO3,0.05783132530120482
ULK1,0.05060240963855422
ULK2,0.04819277108433735
ULK3,0.05783132530120482
VEGFR2,0.0746987951807229
VPS34,0.0746987951807229
VRK2,0.04819277108433735
WEE1,0.04578313253012048
WEE2,0.02650602409638554
WNK1,0.04096385542168675
WNK2,0.04578313253012048
WNK3,0.024096385542168676
WNK4,0.05301204819277108
YANK1,0.06265060240963856
YANK2,0.06506024096385542
YANK3,0.033734939759036145
YES,0.06506024096385542
YSK1,0.04096385542168675
YSK4,0.0
ZAK,0.0891566265060241
ZAP70,0.06506024096385542
p38.alpha,0.12048192771084337
p38.beta,0.06506024096385542
p38.delta,0.024096385542168676
p38.gamma,0.04096385542168675
