target,sim12,sim21
AIE89081,16.0,13.8
sp|Q1628,36.2,34.3
sp|Q1656,34.5,29.6
sp|Q1662,33.5,32.5
sp|Q1664,58.0,60.7
sp|Q1681,55.7,58.4
sp|Q1683,24.2,19.1
sp|Q5S00,16.5,6.2
sp|Q5VT2,53.4,52.7
sp|Q6V0N,48.4,64.8
sp|Q7KZI,52.2,52.7
sp|Q86V8,47.8,59.2
sp|Q86Z0,28.8,12.9
sp|Q8IU8,30.5,34.5
sp|Q8IW4,34.0,28.8
sp|Q8IWQ,51.2,54.1
sp|Q8N56,32.2,17.6
sp|Q8TD1,32.1,13.4
sp|Q8TDC,54.1,51.2
sp|Q8TDX,69.0,71.5
sp|Q8WTQ,29.5,30.7
sp|Q9263,26.1,22.3
sp|Q96BR,54.1,47.0
sp|Q96GD,74.8,67.2
sp|Q96L3,53.4,53.5
sp|Q96M5,22.8,28.8
sp|Q96PF,63.2,64.8
sp|Q96PY,30.5,11.6
sp|Q96RG,18.0,7.9
sp|Q96SB,38.6,33.4
sp|Q9BXA,64.8,63.2
sp|Q9BZL,56.2,58.4
sp|Q9H3Y,42.6,39.5
sp|Q9HBH,64.8,48.4
sp|Q9HBY,56.1,56.7
sp|Q9HC9,71.5,69.0
sp|Q9HCP,69.2,68.0
sp|Q9NQU,31.6,33.3
sp|Q9NRA,17.7,11.3
sp|Q9NWZ,21.7,19.8
sp|Q9NYA,12.5,12.2
sp|Q9P0L,54.8,52.2
sp|Q9P1W,45.4,50.5
sp|Q9P28,33.3,31.6
sp|Q9P28.1,31.4,37.0
sp|Q9UBF,13.4,9.6
sp|Q9UHD,32.1,31.6
sp|Q9UK3,70.7,70.2
sp|Q9UM7,29.3,15.6
sp|Q9UPE,33.4,38.6
sp|Q9UQB,67.2,74.8
sp|Q9UQM,57.7,60.3
sp|Q9Y24,58.6,58.9
sp|Q9Y46,35.5,43.1
sp|Q9Y5S,52.7,53.4
sp|Q9Y6M,61.6,58.2
